wellbore_name,latitude,longitude,total_depth,tvd,max_inclination,formation_td,formation_hc,field,well_type,lat_source,td_source,tvd_source,incl_source,formation_source
15/9-19 A,58.44167586111111,1.8875984444444445,4131.0,3318.72,61.37,SMITH BANK FM       ,HUGIN FM,VOLVE,EXPLORATION,TRAJECTORY,TRAJECTORY,TRAJECTORY,TRAJECTORY,NPD
15/9-19 B,58.44167586111111,1.8875984444444445,3272.0,2511.53,61.37,SMITH BANK FM       ,,VOLVE,EXPLORATION,TRAJECTORY,TRAJECTORY,TRAJECTORY,TRAJECTORY,NPD
15/9-19 BT2,58.44167586111111,1.8875984444444445,4250.0,3360.59,61.37,,,VOLVE,EXPLORATION,TRAJECTORY,TRAJECTORY,TRAJECTORY,TRAJECTORY,MISSING
15/9-19 S,58.44167586111111,1.8875984444444445,3580.0,2374.52,60.5,LISTA FM            ,,VOLVE,EXPLORATION,TRAJECTORY,TRAJECTORY,TRAJECTORY,TRAJECTORY,NPD
15/9-19 SR,58.44167586111111,1.8875984444444445,4644.0,3135.33,61.37,SKAGERRAK FM        ,HUGIN FM,VOLVE,EXPLORATION,TRAJECTORY,TRAJECTORY,TRAJECTORY,TRAJECTORY,NPD
15/9-19 SR2,58.435903,1.929736,4644.0,3132.0,55.9,SKAGERRAK FM        ,HUGIN FM,VOLVE,EXPLORATION,NPD,NPD,NPD,NPD,NPD
15/9-19 ST2,58.44167586111111,1.8875984444444445,3580.0,2374.52,60.5,LISTA FM            ,,VOLVE,EXPLORATION,TRAJECTORY_PARENT,TRAJECTORY_PARENT,TRAJECTORY_PARENT,TRAJECTORY_PARENT,NPD_PARENT
15/9-F-1,58.441640888888884,1.88741875,3632.0,3330.4,49.5,,,VOLVE,DEVELOPMENT,TRAJECTORY,TRAJECTORY,TRAJECTORY,TRAJECTORY,MISSING
15/9-F-1 A,58.441640888888884,1.88741875,3682.0,3239.71,63.21,,,VOLVE,DEVELOPMENT,TRAJECTORY,TRAJECTORY,TRAJECTORY,TRAJECTORY,MISSING
15/9-F-1 B,58.441640888888884,1.88741875,3465.0,3259.89,30.25,,,VOLVE,DEVELOPMENT,TRAJECTORY,TRAJECTORY,TRAJECTORY,TRAJECTORY,MISSING
15/9-F-1 C,58.441640888888884,1.88741875,4094.0,3180.47,84.06,,,VOLVE,DEVELOPMENT,TRAJECTORY,TRAJECTORY,TRAJECTORY,TRAJECTORY,MISSING
15/9-F-10,58.44157822222222,1.8875193888888888,5331.0,3017.01,88.09,,,VOLVE,DEVELOPMENT,TRAJECTORY,TRAJECTORY,TRAJECTORY,TRAJECTORY,MISSING
15/9-F-11,58.441654611111105,1.8874629722222223,347.0,346.99,0.7,,,VOLVE,DEVELOPMENT,TRAJECTORY,TRAJECTORY,TRAJECTORY,TRAJECTORY,MISSING
15/9-F-11 A,58.441654611111105,1.8874629722222223,3762.0,3126.49,75.37,,,VOLVE,DEVELOPMENT,TRAJECTORY,TRAJECTORY,TRAJECTORY,TRAJECTORY,MISSING
15/9-F-11 B,58.441654611111105,1.8874629722222223,4770.0,3257.3,90.01,,,VOLVE,DEVELOPMENT,TRAJECTORY,TRAJECTORY,TRAJECTORY,TRAJECTORY,MISSING
15/9-F-11 T2,58.441654611111105,1.8874629722222223,4562.0,3400.3,82.28,,,VOLVE,DEVELOPMENT,TRAJECTORY,TRAJECTORY,TRAJECTORY,TRAJECTORY,MISSING
15/9-F-12,58.44163725,1.8874826111111112,3520.0,3108.36,54.95,,,VOLVE,DEVELOPMENT,TRAJECTORY,TRAJECTORY,TRAJECTORY,TRAJECTORY,MISSING
15/9-F-14,58.44160247222222,1.887521888888889,3750.0,3158.65,81.08,,,VOLVE,DEVELOPMENT,TRAJECTORY,TRAJECTORY,TRAJECTORY,TRAJECTORY,MISSING
15/9-F-15,58.44158508333333,1.8875415,4090.0,3169.92,67.69,,,VOLVE,DEVELOPMENT,TRAJECTORY,TRAJECTORY,TRAJECTORY,TRAJECTORY,MISSING
15/9-F-15 A,58.44158508333333,1.8875415,4095.0,3212.14,85.77,,,VOLVE,DEVELOPMENT,TRAJECTORY,TRAJECTORY,TRAJECTORY,TRAJECTORY,MISSING
15/9-F-15 B,58.44158508333333,1.8875415,3497.0,3016.5,60.21,,,VOLVE,DEVELOPMENT,TRAJECTORY,TRAJECTORY,TRAJECTORY,TRAJECTORY,MISSING
15/9-F-15 C,58.44158508333333,1.8875415,3232.0,3044.07,33.26,,,VOLVE,DEVELOPMENT,TRAJECTORY,TRAJECTORY,TRAJECTORY,TRAJECTORY,MISSING
15/9-F-15 D,58.44158508333333,1.8875415,4685.0,3212.31,82.04,,,VOLVE,DEVELOPMENT,TRAJECTORY,TRAJECTORY,TRAJECTORY,TRAJECTORY,MISSING
15/9-F-4,58.441588749999994,1.8874776666666666,3510.0,3138.06,55.23,,,VOLVE,DEVELOPMENT,TRAJECTORY,TRAJECTORY,TRAJECTORY,TRAJECTORY,MISSING
15/9-F-5,58.44157136111111,1.8874972777777776,3792.0,3246.43,55.13,,,VOLVE,DEVELOPMENT,TRAJECTORY,TRAJECTORY,TRAJECTORY,TRAJECTORY,MISSING
15/9-F-7,58.44163038888889,1.8874605,1083.0,1077.48,9.53,,,VOLVE,DEVELOPMENT,TRAJECTORY,TRAJECTORY,TRAJECTORY,TRAJECTORY,MISSING
15/9-F-9,58.441595611111104,1.8874997777777778,1083.0,1075.86,11.7,,,VOLVE,DEVELOPMENT,TRAJECTORY,TRAJECTORY,TRAJECTORY,TRAJECTORY,MISSING
15/9-F-9 A,58.441595611111104,1.8874997777777778,1206.0,1012.97,59.07,,,VOLVE,DEVELOPMENT,TRAJECTORY,TRAJECTORY,TRAJECTORY,TRAJECTORY,MISSING
